home_name,away_name,event_coord_x,event_coord_y,shot_type,shot_subtype,three_point_shot,points_scored
Bears,Cowboys,1066.0,310.0,layup,,false,2.0
Bears,Cowboys,268.0,140.0,jump shot,,true,3.0
Bears,Tigers,240.0,70.0,jump shot,,true,3.0
Bears,Tigers,971.0,393.0,jump shot,,false,2.0
Bears,Tigers,758.0,215.0,jump shot,,true,3.0
Bears,Tigers,78.0,125.0,jump shot,,false,2.0
Bears,Aggies,1002.0,253.0,jump shot,,false,2.0
Bears,Aggies,319.0,126.0,jump shot,,true,3.0
Bears,Aggies,304.0,442.0,jump shot,,true,3.0
Bears,Aggies,1031.0,269.0,layup,,false,2.0
Bears,Aggies,1031.0,356.0,jump shot,,false,2.0
Bears,Aggies,92.0,281.0,layup,,false,2.0
Bears,Red Raiders,1013.0,250.0,layup,,false,2.0
Bears,Red Raiders,94.0,296.0,dunk,,false,2.0
Bears,Red Raiders,928.0,459.0,jump shot,,false,2.0
Bears,Red Raiders,1021.0,469.0,jump shot,,false,2.0
Bears,Red Raiders,827.0,164.0,jump shot,,true,3.0
Bears,Lumberjacks,43.0,248.0,layup,,false,2.0
Bears,Lumberjacks,65.0,245.0,layup,,false,2.0
Bears,Lumberjacks,141.0,29.0,jump shot,,true,3.0
Bears,Lumberjacks,1044.0,207.0,layup,,false,2.0
Bears,Lumberjacks,92.0,568.0,jump shot,,true,3.0
Bears,Longhorns,1042.0,339.0,dunk,,false,2.0
Bears,Longhorns,81.0,253.0,layup,,false,2.0
Bears,Longhorns,1031.0,338.0,layup,,false,2.0
Bears,Longhorns,958.0,51.0,jump shot,,true,3.0
Bears,Longhorns,98.0,259.0,layup,,false,2.0
Bears,Longhorns,1011.0,252.0,layup,,false,2.0
Bears,Commodores,81.0,276.0,dunk,,false,2.0
Bears,Commodores,195.0,403.0,jump shot,,false,2.0
Bears,Commodores,77.0,320.0,layup,,false,2.0
Bears,Commodores,1051.0,335.0,layup,,false,2.0
Bears,Commodores,81.0,111.0,jump shot,,false,2.0
Bears,Wildcats,1045.0,329.0,layup,,false,2.0
Bears,Wildcats,1052.0,280.0,layup,,false,2.0
Bears,Wildcats,84.0,328.0,layup,,false,2.0
Bears,Wildcats,102.0,558.0,jump shot,,true,3.0
Bears,Red Wolves,330.0,293.0,jump shot,,true,3.0
Bears,Red Wolves,113.0,214.0,jump shot,,false,2.0
Bears,Panthers,91.0,277.0,layup,,false,2.0
Bears,Panthers,1004.0,283.0,layup,,false,2.0
Bears,Panthers,1014.0,300.0,layup,,false,2.0
